Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-bangla_network,1103945,,1,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,1,,1,,,1,1,1,
360g-cabinetoffice-bangladesh_centre_leeds,1137465,104600,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,
360g-cabinetoffice-bangladesh_football_association,1110461,181811,1,1,1,,1,,,,,1,,,1,,,1,,1,,,1,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-bangladeshi_community_association_bradford,1092058,40101,1,1,1,1,1,,,1,1,1,,,1,,,,,1,1,1,1,1,1,1,,,,1,,1,1,1,,1
360g-cabinetoffice-bangladeshi_islamic_association,1101926,73677,1,1,,,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,1,1,1,,,,
360g-cabinetoffice-bangladeshi_women's_association_limited,1151816,215933,,1,,,1,,,,,,,1,1,,,1,,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-bankfoot_partnership,1103929,11877,1,1,,,,,,,,1,,,1,,,,,1,1,,,1,,1,,,,1,1,,,,1,
360g-cabinetoffice-barca_leeds,1048996,2860023,1,1,1,,1,,,,,1,,,1,,,,,1,,,,,,1,,,,1,1,1,1,,,1
360g-cabinetoffice-bardsley_youth_project,1152836,40214,,1,,,1,,,1,,,,,1,,1,,,1,,,,,,,,,,,1,,1,,,
360g-cabinetoffice-barking_and_dagenham_volunteer_bureau,1007951,77739,,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-bar-n-bus,1055210,129031,,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-barnsley_bme_women_and_children_forum,1158307,16000,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,
360g-cabinetoffice-barnsley_bme_women_and_children_forum,1158307,16000,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,
360g-cabinetoffice-barnsley_community_build,1087798,770780,,1,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,
360g-cabinetoffice-barnsley_foster_carers_association,1093107,,1,1,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,,
360g-cabinetoffice-barra_hall_community_development_committee,1110200,10313,1,1,,1,1,,,,1,1,,1,1,,,,,1,1,1,1,,,1,,,,,,,1,,1,
360g-cabinetoffice-barton_fields_trust,1102271,22024,,,,,,,,,,1,,1,1,,,,,1,1,1,1,1,,1,,,,1,1,,,,1,
360g-cabinetoffice-basildon_borough_citizen_advice_bureau,1113231,411914,1,,,1,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,1,,,
360g-cabinetoffice-basildon_borough_citizens_advice_bureau,1113231,411914,1,,,1,1,,1,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,1,,,
360g-cabinetoffice-basildon_district_citizens_advice_bureau,212441,,,1,1,1,1,,1,,,,,,1,,,,,,,,,,,1,,,,1,,1,1,,1,
360g-cabinetoffice-basildon_district_citizens_advice_bureau,212441,,,1,1,1,1,,1,,,,,,1,,,,,,,,,,,1,,,,1,,1,1,,1,
360g-cabinetoffice-basildon_women's_aid,279777,955267,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,1,1,,,
360g-cabinetoffice-bath_area_play_project,1013897,531829,1,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-bath_children_in_need,296130,107,,1,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,
360g-cabinetoffice-bath_children_in_need,296130,107,,1,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,
360g-cabinetoffice-batighor,1162715,14112,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,
360g-cabinetoffice-batighor,1162715,14112,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,
360g-cabinetoffice-beanies,1028746,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
360g-cabinetoffice-beaumont_athletic_fc,1154955,,1,1,,,,,,,,1,,,1,,,1,,1,,,1,1,,1,,,,,1,1,1,,,
360g-cabinetoffice-beauty_for_ashes,1158183,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,
360g-cabinetoffice-bebington_hard_of_hearing,518773,2222,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,
360g-cabinetoffice-bela,1014033,2019,,1,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,1,,,1,1,,
360g-cabinetoffice-bell_farm_christian_centre,1085450,318014,1,1,,,1,,,1,,,,,1,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-bell_green_community_association,522907,47604,1,1,,,,,,1,1,1,,,,,,,,1,1,1,,1,1,1,,,,,1,,1,,1,
360g-cabinetoffice-bellinge_community_pre-school,1102681,148857,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360g-cabinetoffice-benchill_community_centre,1087821,330170,1,1,,,1,,,,1,1,,,1,,,,,1,1,1,1,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-bentley_beginnings,1081484,28604,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-bethany_house_healing_centre,1130138,23868,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-better_leeds_communities,514371,640344,1,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,,,,1,1,1,1,1,1,
360g-cabinetoffice-bexhill_community_partnership,1086134,5980,1,1,,,1,,,1,,,,,1,,,1,,1,1,,,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-bexhill_street_pastors,1150480,15767,1,1,1,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-bexhill_youth_and_community_association,1050279,53591,,1,,,,,,,,1,,,,,,,,1,1,1,1,,,,,,,,1,1,,,,
360g-cabinetoffice-bierley_community_association_ltd,1137347,142382,1,1,,,1,,,,,1,,,1,,,1,,1,1,,,1,,1,,,,,1,1,1,,1,
360g-cabinetoffice-bilston_community_association,508616,35541,,1,,1,,,,1,1,1,1,1,1,,,1,,1,1,1,1,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-bilton_grange_community_association,702986,34331,1,1,,1,,,,,1,,,1,,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-birkenhead_youth_club,1087690,88976,,1,,,,,,,1,1,,,,,,,,1,,1,,,,,,,,1,1,1,,,,
360g-cabinetoffice-birkenhead_youth_club,1087690,88976,,1,,,,,,,1,1,,,,,,,,1,,1,,,,,,,,1,1,1,,,,
360g-cabinetoffice-birley_community_pre-school,1163022,130755,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-birmingham_asian_resource_centre,1093110,256201,1,1,,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,1,,1,
360g-cabinetoffice-birmingham_city_clubs_for_young_people,516838,14793,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,1
360g-cabinetoffice-birmingham_disability_resource_centre,1034581,546194,,1,,1,1,,,,,,,,1,,1,,,1,1,1,,1,,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-birmingham_peoples_centre,1157384,28415,,1,,,1,,,,,,,,1,,1,,,,,,,,1,1,,,,,,1,1,,,
360g-cabinetoffice-birmingham_playcare_network,1166691,230682,,1,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,,,,1,1,1,,1,
360g-cabinetoffice-black_country_rebels_dance_group,1156280,,1,1,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-black_health_initiative,1053247,170820,,,1,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,1,1,,1,
360g-cabinetoffice-black_heroes_foundation,1169616,,1,1,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,,,,
360g-cabinetoffice-blackbird_leys_adventure_playground,273172,46669,1,,,,1,,,,1,1,,1,,,,1,,1,,,,,,,,,,1,1,1,,,,
360g-cabinetoffice-blackburn_rovers_community_trust,1117122,869624,1,1,1,1,,,,,,1,,,1,,,,,1,1,1,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-blackpool_carers_centre,1114558,865135,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,,,,1,1,,,1,1,1,1,,,
360g-cabinetoffice-blackpool_fc_community_trust,1128235,707398,,1,,1,,,,,,1,,,1,,,,,1,1,1,1,1,,1,,,,1,,1,,,,
360g-cabinetoffice-blackpool_pride_festival,1157508,27045,,,1,,,,,,1,,,,,,,,1,,,,,1,1,1,,,1,,,,,,,1
360g-cabinetoffice-blakenhall_action_community_forum,1100867,64474,1,,,,,,,,,,,1,,,,1,,1,1,1,1,,,1,,,,1,1,1,,,1,
360g-cabinetoffice-blessing_family_association,1118767,6261,1,1,1,1,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,1,1,,,
360g-cabinetoffice-blue_orange_arts_ltd,1145871,125190,,1,,1,,,,,1,,,,1,,1,,,1,1,1,,1,,1,,,,,1,1,,,,
360g-cabinetoffice-blue_watch_youth_centre,1047550,201231,,1,,1,,,,,,,,,1,,,1,,1,,1,,,,1,,,,,1,1,1,,,
360g-cabinetoffice-bme_community_services,1118852,,1,1,1,,1,1,,,1,,,,1,,,,1,1,1,,1,,1,,,,,,,1,1,,,1
360g-cabinetoffice-b-muzik,1149097,2392,1,,,,,,,,1,,,,,,,1,,1,,,1,1,,,,,,,,1,,,,1
360g-cabinetoffice-bolton_solidarity_community_association,1101649,127854,1,1,1,1,1,,1,,1,1,,,1,,,,,1,1,1,,1,,1,,,,1,1,1,1,1,1,
360g-cabinetoffice-bolton_wanderers_community_trust,1090753,772095,1,1,1,1,,,,,,1,,,1,,,,1,1,,1,1,1,1,1,,,,1,1,1,1,,,1
360g-cabinetoffice-boothferry_road_community_project,1044581,307265,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-brackenhall_community_trust,1123920,0,1,,,,,,,1,1,1,,,,,,,,1,1,1,1,,,1,,,,1,1,1,,,,
360g-cabinetoffice-bracknell_and_district_citizens_advice_bureau,1065672,242925,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
360g-cabinetoffice-bradford_community_environment_project,1093783,489000,1,1,1,,,,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-bramblebrook_community_association,511215,29922,1,,,,,,,1,1,1,,,1,,,1,,1,1,1,1,,,1,,,,1,1,1,,,,
360g-cabinetoffice-bramley_elderly_action,1043975,343604,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,
360g-cabinetoffice-bramley_elderly_action,1043975,343604,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,
360g-cabinetoffice-brampton_youth_group,1142434,31333,1,1,,,1,,,,1,,,,1,,,1,,1,,,,,,,,,,,1,1,1,,,
360g-cabinetoffice-breckon_hill_community_enterprise,1125513,117228,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,
360g-cabinetoffice-brent_community_law_centre,1146239,461501,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-brentford_fc_community_sports_trust,1112784,1464624,,1,1,1,,,,,1,1,,,1,,,1,,1,1,1,1,1,,,,,,,1,1,,1,,
360g-cabinetoffice-brentford_toy_library,1057542,1783,,,,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,1,1,,,,1
360g-cabinetoffice-bridge_church_lincoln,1052167,213294,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-bridges_homeless_support,1150853,4171,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,
360g-cabinetoffice-bridlington_amateur_operatic_and_dramatic_society,231760,51944,,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,1,1,,,,,
360g-cabinetoffice-bridlington_club_for_young_people,509878,17601,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-bridlington_club_for_young_people,509878,17601,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-brierley_hill_project,1114773,48811,1,1,1,1,1,,,1,1,1,,,1,,,,,1,,,,,1,1,,,,1,1,1,1,,,
360g-cabinetoffice-brighter_living_partnership,1101722,171968,,1,1,,1,,,,,,,,1,,,,,1,1,1,1,1,,1,,1,,1,1,1,1,1,1,
360g-cabinetoffice-brighthelm_church_and_community_centre_trust,1137747,228157,1,1,,,1,,,1,,,,1,,,,,,1,,,,1,,1,,,,,1,1,,,,1
360g-cabinetoffice-bristol_somali_resource_centre,1128721,62795,1,1,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,1,,,
360g-cabinetoffice-british_somali_community,1099490,130560,,1,1,,1,,,,1,1,,,1,,,,,1,1,1,1,,,,,,,1,,1,1,,,
360g-cabinetoffice-broadbottom_community_association,505679,20720,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,,1,,,1,1,,,1,1
360g-cabinetoffice-broadmead_baptist_church,1135268,374161,,,,,,,,1,,,,,1,,,,,1,,,,,1,1,,1,,,1,1,,,,
360g-cabinetoffice-brockmoor_community_association,523105,16158,1,1,,,,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,1,1,,,1,
360g-cabinetoffice-brouhaha_international,1017409,357919,,1,,,,,,,1,,,,,,,,,1,1,1,1,,,1,,,,1,,1,1,,,
360g-cabinetoffice-brumby_community_association,510284,12421,,,,,,,,,,1,,,,,,,,1,1,,,1,,1,,,,1,1,,,,,
360g-cabinetoffice-buckland_park_play_association,294707,14861,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-bugle_village_hall,1097512,7682,1,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-bulwell_community_toy_library_limited,1117739,411934,1,1,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,1,,,,
360g-cabinetoffice-bumble_hole_conservation,1054674,19280,,1,,1,,,,,1,1,1,1,1,,,1,,1,1,1,,1,,1,,,,1,1,1,1,1,,
360g-cabinetoffice-burmantofts_community_project,1051368,334198,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,1,,,
360g-cabinetoffice-burmantofts_community_projects,1051368,334198,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,1,,,
360g-cabinetoffice-burngreave_amateur_boxing_club,1127469,18324,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-burnham_and_highbridge_choral_society,1097213,5050,1,1,,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,,1,,,,1
360g-cabinetoffice-burslem_methodist_mission,1141130,213752,,1,,,1,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,1,1,1,1,,1,
360g-cabinetoffice-burton_albion_community_trust,1142920,736193,1,1,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-burton_albion_community_trust,1142920,736193,1,1,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-burton_youth_for_christ,1071717,56309,1,1,,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,1,1,,1,
360g-cabinetoffice-burton_youth_for_christ,1071717,56309,1,1,,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,1,1,,1,
360g-cabinetoffice-burton_youth_for_christ,1071717,56309,1,1,,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,1,1,,1,
360g-cabinetoffice-bury_fc_community_trust,1121232,451482,1,1,,1,1,,,,,1,,1,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,
360g-cabinetoffice-bushbury_hill_community_action_group,1169727,0,,1,1,1,1,,,,,,,1,1,,,1,,1,,,,1,,1,1,1,,,,1,1,,,1
360g-cabinetoffice-bushbury_hill_community_action_group,1169727,0,,1,1,1,1,,,,,,,1,1,,,1,,1,,,,1,,1,1,1,,,,1,1,,,1
360g-cabinetoffice-bushey_and_watford_phab_club,1042326,1478,1,1,,1,,,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,,,,1
360g-cabinetoffice-bushfields_community_association,519309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-calderdale_british_muslim_association,1015200,277411,1,1,1,1,1,,,1,,1,,,1,,1,1,,1,1,1,1,,,1,,,,,,1,1,,1,
360g-cabinetoffice-calverley_village_guide_association,1031960,5405,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-cambridge_road_estates_community_group,1144268,3707,,,,,1,,,,,,,,1,,1,1,1,1,1,,,1,,1,,,,1,,1,1,,1,
360g-cabinetoffice-canals_in_hackney_users_group,1072335,48497,,,,,,,1,,,,,1,1,,,,,,,,,,1,1,,,,1,,,,,,
360g-cabinetoffice-canning_town_caravanserai,1157943,22362,,1,,,,,,,1,,,1,1,,,1,,1,,1,,1,1,1,,,,,1,1,,,,
360g-cabinetoffice-cape_community_care_day_centre,1122721,31438,1,1,1,1,1,,,,1,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-cape_community_care_day_centre,1122721,31438,1,1,1,1,1,,,,1,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-cape_community_care_day_centre,1122721,31438,1,1,1,1,1,,,,1,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-carnegie_heritage_centre,1131585,28879,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,1,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cartwheel_arts,519394,306752,,1,1,1,,,,,1,,,1,1,,1,,,1,1,1,1,1,1,,,,,,,1,,1,,
360g-cabinetoffice-cascade_creative_recovery,1154002,21737,,1,1,,,,,,1,,,,1,,,1,,,,,,,1,,,,,1,1,,1,,,
360g-cabinetoffice-castle_pool_community_partnership,1159347,132042,1,,,,1,,,,,1,,,,,,1,,,1,1,1,,,1,,,,,1,1,,,,
360g-cabinetoffice-ceep,1128071,105095,1,1,,,1,,,,1,1,,,1,,,,,1,1,,,,,1,,,,,1,1,1,,1,
360g-cabinetoffice-central_african_youth_in_enfield,1100569,41291,1,1,,,1,,,,1,1,,,1,,,,,1,,,1,,,1,,,,,,1,1,,,
360g-cabinetoffice-central_cheshire_buddy_scheme,1160519,160368,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-cfydc_(chance),1121341,69306,1,1,,1,1,,,,,1,,,1,,1,1,1,1,,1,1,,,,1,,,1,1,1,1,,1,1
360g-cabinetoffice-chadderton_historical_society,1003804,3033,,1,,,,,,,1,,,1,,,,,,1,1,,,,,1,,,,1,1,,1,1,,
360g-cabinetoffice-champions_fun_learning_centre,1144522,132602,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,
360g-cabinetoffice-chandran_foundation,1128023,120839,,1,,,,,,,,,,,1,,,,1,1,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-cheadle_heath_community_association,1002266,14407,1,1,1,1,,,,,1,1,,,,,,,,1,1,1,,1,1,1,,,,1,1,1,1,,,
360g-cabinetoffice-checkpoint_advice_&_support,1152339,11268,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
360g-cabinetoffice-child_and_family_connect,1099371,36475,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
360g-cabinetoffice-child_dynamix,1109642,1801594,,1,1,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-children's_links,1071058,4259000,,1,1,1,1,,,,1,1,,1,1,,1,1,,1,,1,,1,1,1,,1,,1,1,1,1,1,1,
360g-cabinetoffice-chinwag,292089,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
360g-cabinetoffice-christ_the_rock_international_ministry,1120229,14288,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
360g-cabinetoffice-cinderhill_community_association,1034018,44644,1,1,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-citizens_advice_1066,1039704,532595,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,
360g-cabinetoffice-citylife_community_projects,1117112,27653,,1,,,1,,,,,1,,,,,,,,1,1,,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-claremont_first_step_community_centre,1088988,151634,1,1,,1,1,,,,,1,,,1,,,1,,1,1,1,1,1,,1,,,,,1,1,1,,,
360g-cabinetoffice-claremont_west_family_centre,1100535,51596,,1,,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-colebridge_trust,1155468,654195,,1,1,1,,,,,,,,,1,,,1,1,1,,1,,1,1,1,,1,,,1,1,1,,,1
360g-cabinetoffice-colebridge_trust_ltd,1155468,654195,,1,1,1,,,,,,,,,1,,,1,1,1,,1,,1,1,1,,1,,,1,1,1,,,1
360g-cabinetoffice-collis_millennium_green_trust,1079344,231,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-colvestone_family_and_staff_association,1097902,4526,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,
360g-cabinetoffice-communic8te_bury,220854,57693,1,1,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,,,
360g-cabinetoffice-communities_against_poverty,1077378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-communities_first_foundation,1117143,190780,,1,,,1,,1,,1,1,,,1,,,,,1,1,1,,,1,,,,,1,,1,1,1,1,
360g-cabinetoffice-communities_united_project,1072970,104050,,1,,,,,,,,1,,,1,,,,,1,,,,,1,1,,,,,,1,,,,
360g-cabinetoffice-communities_united_project,1072970,104050,,1,,,,,,,,1,,,1,,,,,1,,,,,1,1,,,,,,1,,,,
360g-cabinetoffice-community_action_wyre_forest,1083587,101369,1,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,1,1
360g-cabinetoffice-community_and_voluntary_action_tameside,1148056,1242127,1,1,1,1,1,,,,1,,,,1,,1,1,,1,1,1,1,1,,1,,1,,,,1,1,,1,
360g-cabinetoffice-community_and_voluntary_action_tameside,1148056,1242127,1,1,1,1,1,,,,1,,,,1,,1,1,,1,1,1,1,1,,1,,1,,,,1,1,,1,
360g-cabinetoffice-community_and_voluntary_action_tameside,1148056,1242127,1,1,1,1,1,,,,1,,,,1,,1,1,,1,1,1,1,1,,1,,1,,,,1,1,,1,
360g-cabinetoffice-community_care_entertainments,1080553,11605,1,,,,,,,,1,1,,,1,,,,,,1,1,,1,,,,,,1,,,1,,,
360g-cabinetoffice-community_concern_erewash,1087371,187426,1,,,1,1,,,,,,,,,,,,,,1,1,,,,1,,,,1,,1,,,,
360g-cabinetoffice-community_events_group,SC043369,4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-community_health_works,1089409,,,1,1,1,,,,,1,1,,,1,,,,,1,1,1,,1,1,1,,,,1,,1,1,1,1,
360g-cabinetoffice-community_language_support_services,1115756,30062,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,
360g-cabinetoffice-community_matters_(yorkshire),1148877,71299,1,1,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,
360g-cabinetoffice-community_on_solid_ground,1139378,215954,,1,,1,,,,,1,1,,1,1,,,,,1,1,,,1,,1,,,,,1,1,1,,,
360g-cabinetoffice-community_on_solid_ground,1139378,215954,,1,,1,,,,,1,1,,1,1,,,,,1,1,,,1,,1,,,,,1,1,1,,,
360g-cabinetoffice-community_resources_for_change,1140209,87794,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
360g-cabinetoffice-community_sports_partners_cio,1154163,9944,,1,1,,,,,,,1,,,1,,,1,,1,1,1,1,,,1,1,1,,,,1,,1,,
360g-cabinetoffice-compass_bridge,1146917,143774,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-concorde_wheelchair_dancers,287029,1190,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,1,,,,
360g-cabinetoffice-concrete_canvas_art,1108515,27000,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,
360g-cabinetoffice-concrete_canvas_arts,1108515,27000,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,
360g-cabinetoffice-congens_group,1159464,11430,1,1,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,1
360g-cabinetoffice-conisbrough_training_centre_support_group,511579,0,,,,1,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,1
360g-cabinetoffice-cool_recovery,1110955,169232,1,1,1,1,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,1,1,,,
360g-cabinetoffice-corby_community_arts_association_limited,279972,46549,1,1,,1,,,,,1,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,
