Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-5th_gillingham_scout_group,1065885,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
360g-cabinetoffice-61st_doncaster_(bentley)_air_scouts,506994,16042,1,1,,,,,,,1,1,,1,,,1,1,,1,,,,,,,,,,1,1,,,,,1
360g-cabinetoffice-64th_birmingham_scout_group,503482,34969,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-6th_hillingdon_scout_group,302936,15214,1,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1
360g-cabinetoffice-6th_oldham_scout,1018878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-7_hills_leisure_trust,1150711,6970000,,1,1,,,,,,1,1,,,,,,1,,1,1,1,,,,1,,,,,1,1,,,,
360g-cabinetoffice-7_hills_trust,1150711,6970000,,1,1,,,,,,1,1,,,,,,1,,1,1,1,,,,1,,,,,1,1,,,,
360g-cabinetoffice-7th_gillingham_scout_group,1133220,14881,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-7th_spen_valley_(gomersal)_scout_group,507639,17749,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-93rd_newcastle_scout_group,513567,10804,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-93rd_newcastle_scout_group,513567,10804,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-a690_youth_initiative,1103271,176821,1,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-abcc,1112988,106712,1,1,,1,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-ability_bow,1115595,310602,,,1,1,,,,,,1,,,,,,1,,,1,1,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-abram_community_centre_limited,1128157,15915,1,,,,,,,,1,1,,,,,,,,1,1,1,,1,,1,,,,,1,,,,,
360g-cabinetoffice-acacia_family_support,1122831,253016,,,1,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,1,1,,,
360g-cabinetoffice-access_christian_media,1131237,82135,,1,1,,1,1,,1,1,,,,1,,,,,,,,,1,,1,,,,,,1,1,,,
360g-cabinetoffice-access_to_sport_and_recreation_limited,1141937,13160,,,,,,,,,,1,,,1,,,,,1,1,1,,,,1,,,,,1,,,,,
360g-cabinetoffice-access_to_sports_project,1122243,951323,,1,,,,,,,,1,,,,,,1,,1,,1,,,,1,,,,,,1,1,,,
360g-cabinetoffice-accm,1128904,105552,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
360g-cabinetoffice-acorn_to_oaks,1087222,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
360g-cabinetoffice-acta_community_theatre,800174,789759,,1,,1,1,,,,1,,,1,1,,1,,,1,1,1,,,,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-actes,1122223,897613,1,1,1,,1,,1,,,1,,1,1,,,,1,1,1,1,,1,1,1,,1,,1,1,1,1,,,1
360g-cabinetoffice-action_4_bullying,1166720,0,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,
360g-cabinetoffice-action_for_gipton_elderly,1044842,157252,,1,1,1,1,,1,,1,1,,,,,,,,,1,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-activate_rawmarsh,1150274,29956,1,1,,,,,,,,,,,,,,1,,1,,,,1,1,,,,,,1,1,,,,1
360g-cabinetoffice-active_arts_castle_vale,1130759,49701,,1,,,,,,,1,,,,1,,,,,1,1,1,1,,1,1,,,,,,1,,,,
360g-cabinetoffice-active_change_foundation,1125970,538040,,1,,,1,,,,,1,,,1,,,,,1,,,1,,,1,,,,,1,1,1,,,1
360g-cabinetoffice-active_communities_network,1121216,1810150,1,1,,,,,,,1,1,,,1,,,,,1,,,,1,,1,,,,1,,1,,1,,
360g-cabinetoffice-active_luton,1111804,9361432,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,,,,
360g-cabinetoffice-active_regen_community_foundation_ltd,1137939,120300,,1,,1,,,,,,1,,,1,,,,,1,1,1,1,1,,1,,,,,,1,,,1,
360g-cabinetoffice-activlives,1147615,417066,1,1,1,1,,,,,,,,1,1,,,1,,1,1,1,1,1,,1,,,,,,1,1,,,
360g-cabinetoffice-addas_centre,1140763,1478,1,1,,,,,,,1,1,,1,1,,,1,,1,,,,1,,1,,,,,,1,,,,
360g-cabinetoffice-adrenaline_alley,1115146,768830,,,,,,,,,1,1,,,1,,,,,1,,1,,1,,1,,,,,1,1,1,,,
360g-cabinetoffice-afewee_training_centre,1162398,18737,,1,,,,,,,,1,,,1,,,1,,1,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-african_french_speaking_organisation,1118459,11725,,1,1,1,1,,1,,1,1,,,1,,,,,1,1,1,,1,,,,,,1,,1,1,,1,
360g-cabinetoffice-african_physical_training_organisation,1099577,8100,,1,,,1,,,,1,1,,,1,,,,,1,,1,1,,,1,,,,,,1,1,,,
360g-cabinetoffice-african_women's_health_group,1013817,39896,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,
360g-cabinetoffice-agar_nook_community_association,515629,20928,,1,,,1,,,,1,1,,1,1,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-age_uk_bromsgrove_and_district,1118519,360112,1,,1,1,1,,,,,,,,,,,,,,1,1,,,,1,,,,1,,,1,,,
360g-cabinetoffice-age_uk_derby_&_derbyshire,1068550,1362009,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
360g-cabinetoffice-age_uk_dudley,1084182,1042129,1,1,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-age_uk_dudley,1084182,1042129,1,1,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-age_uk_essex,1091058,4130644,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,
360g-cabinetoffice-age_uk_essex,1091058,4130644,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,
360g-cabinetoffice-age_uk_gateshead,702561,393160,1,,,1,1,,,,,1,,,,,,1,,,1,,,,,,,,,,1,1,1,,,
360g-cabinetoffice-age_uk_hillingdon,1051711,2086372,1,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-age_uk_hounslow,1061681,542233,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
360g-cabinetoffice-age_uk_kensington_and_chelsea,1082658,2221050,1,1,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,1,1,,,
360g-cabinetoffice-age_uk_sheppey,1155211,435946,,,1,1,1,,,,,,,,,,,1,1,,1,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-age_uk_solihull,1055887,1376874,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,1,,,
360g-cabinetoffice-age_uk_sunderland,1086995,1857647,1,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,1,
360g-cabinetoffice-aguda_north_west,1112554,183913,1,1,1,,1,,,,,1,,,1,,,,,1,1,,1,1,,1,,,,,1,1,1,,1,
360g-cabinetoffice-aidexcel_support_services,1147385,43919,,1,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,
360g-cabinetoffice-ajoda_community_alliance,1093094,14912,1,1,1,,,,,,1,1,,,,,1,,,,1,,1,,,,,,,,,,1,,1,
360g-cabinetoffice-al_hikmah_learning_centre,1157165,18610,1,1,1,,1,,,1,1,,,,,,1,1,,1,1,,1,,,1,,,,,1,1,1,,,
360g-cabinetoffice-albion_kids_show,289755,90190,,1,,1,1,,,,1,1,,,,,,,,1,,1,,1,,,,,,1,,1,,,1,
360g-cabinetoffice-al-hasaniya_moroccan_women's_centre,1010556,233040,,,,,,,,,1,,,,1,,,,,1,1,,1,,,,,,,,,1,1,,,
360g-cabinetoffice-all_nations_play_group,1028564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-all_saints_action_network,1095257,621217,1,1,,,1,,1,,,1,,1,1,,,,,,,,,,,1,,,,1,,,,,1,
