Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360G-blf-0030044135,1105919,12653,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-0030044335,702466,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360G-blf-0030046916,255300,2905,1,1,1,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,1,1,,
360G-blf-0030044895,1056035,757030,,1,,,,,,,1,1,,1,,,,,1,1,,,,1,,,,,,1,1,1,1,,1,1
360G-blf-0030046178,1106043,4047,,1,,,,,,,1,1,,,,,,,,1,,1,,,,,,,,1,,,,,1,
360G-blf-0030044523,1107019,114271,,1,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,1,,1,1,,,1
360G-blf-0030046453,298376,7769,1,,,,,,,,1,,,1,,,,,,1,1,,,,,1,,,,1,1,,1,1,,
360G-blf-0030046274,1032160,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
360G-blf-0030045055,1091686,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,1,,,
360G-blf-0030044283,1100618,,,1,1,,,,,,,,,,1,,,,,1,1,1,,,,1,,,,1,,1,,,1,
360G-blf-0030046389,1087886,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,,,,,,,1,1,,
360G-blf-0030046357,522664,13545,1,1,,,,,,,,1,,,,,,,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030045171,1081339,51463,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030044336,1088944,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,
360G-blf-0030049180,300772,7721,1,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,1,,,,,
360G-blf-0030046730,1116395,9182,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,
360G-blf-0030049128,1023995,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
360G-blf-0030044971,1060788,52268,,,,1,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,1,,,,
360G-blf-0030044435,1071856,19834,1,1,1,,,,,,1,1,,1,1,,,,,1,1,1,1,,,1,,,,1,1,1,1,,,
360G-blf-0030044759,219279,161317000,1,1,1,1,1,,1,,,,,,1,,,,,,,,,,1,,1,1,,1,1,1,1,,,1
360G-blf-0030043938,1034288,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
360G-blf-0030046481,1100068,,1,1,,,,,,,1,1,,,1,,,,,1,,1,,,,1,,,,,,1,1,,,
360G-blf-0030045102,304612,30084,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
360G-blf-0030045068,506465,13265,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,
360G-blf-0030045149,204974,,,1,1,1,1,,1,,1,1,,,1,,,,,,1,,,,,,,,,1,1,1,1,,,
360G-blf-0030046397,800297,103191,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030029425,1076194,8223,1,1,1,,,,,,1,1,,,1,,,,,1,,1,1,,,1,,,1,1,1,1,,,,1
360G-blf-0030049011,1106358,1692,1,1,,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,
360G-blf-0030049013,1105456,3570,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,1,
360G-blf-0030043799,1086122,,,1,,,,,,,1,,,1,,,,,,1,1,1,,,,1,,,,,,1,1,,,
360G-blf-0030048985,516391,0,,1,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,1,1,1,1,,,
360G-blf-0030045631,292714,69269,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-0030049163,1051444,4678,1,1,,,,,,,1,1,,,,,,1,,1,1,,,1,1,1,,,,,1,,,,1,
360G-blf-0030044872,1064389,10539,1,1,,1,,,,,1,1,,1,,,,1,1,1,1,1,,1,,1,,,,1,1,1,,,1,1
360G-blf-0030044668,296454,2919603,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030046225,1126276,24433,1,1,,1,,,,,1,,,,,,,,,1,1,1,,1,,,,,,1,1,1,,,,
360G-blf-0030044292,1087778,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
360G-blf-0030044931,701540,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
360G-blf-0030049150,296454,2919603,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030045141,1056901,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,,,,
360G-blf-0030044064,226227,114450000,,1,1,1,,,1,,1,1,,,1,,,,,1,1,1,,,,,1,1,,1,1,1,1,1,1,
360G-blf-0030046611,1104867,430640,1,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1
360G-blf-0030045693,1056232,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,1,1,1,1,,,
360G-blf-0030044322,1087774,1208833,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,
360G-blf-0030046289,700748,932275,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,1,,1,,,,
360G-blf-0030045195,202684,,1,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,1,,,1,
360G-blf-0030044332,1062219,1467131,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
360G-blf-0030044039,1064679,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-0030044509,259537,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,
360G-blf-0030044025,1098815,178010,,1,1,,1,,,,,,,,,,,,,,1,1,1,1,,1,,,,1,,1,1,,,
360G-blf-0030044130,1018204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044419,1109447,45321,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,1,,,,,,
360G-blf-0030046039,291130,788687,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-0030045007,1119972,2021,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,
360G-blf-0030028853,1079707,18566,,1,,,1,,,1,1,1,,,1,,,,,1,,,,,,,1,,,1,,1,1,,,
360G-blf-0030045106,1090780,,1,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,1,1,,,
360G-blf-0030045543,1020486,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,1,,1,,1,
360G-blf-0030046123,268502,6432000,1,1,,1,,,,,,,,,,,,,1,1,,1,,1,1,1,,,,,,1,1,1,,1
360G-blf-0030044253,1010973,1381630,1,,1,1,1,,,,1,1,,,,,,,,,1,,,,,,,,,1,1,1,1,1,,
360G-blf-0030046246,1092735,44780,,1,,,,,,,1,,,,,,,,,1,,,,,1,1,,,,1,,1,1,,,1
360G-blf-0030044432,1096276,,,1,,,,,,,,1,,,1,,,,,1,1,,,,,1,,,,1,1,1,1,,,
360G-blf-0030046430,1055224,16639,,1,1,1,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,1,,,
360G-blf-0030044801,1095828,,1,,,,,,,,,1,,1,1,,,,,1,1,1,,1,,1,,1,,1,1,1,1,,1,
360G-blf-0030046107,249169,3504755,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030046649,1072700,17417,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,
360G-blf-0030043994,1080533,,1,1,1,1,1,,,,1,1,,1,1,,,,,1,1,1,1,,,1,,,1,1,1,1,1,1,,
360G-blf-0030044864,304564,7557,,,,,,,,,,1,,,1,,,,,1,1,,,,,1,,,,,1,,,,,
360G-blf-0030046376,503504,4709,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,
360G-blf-0030043931,1081680,,1,1,,,,,,,,1,,,1,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360G-blf-0030044232,1078799,134370,1,1,,,1,,,,,1,,,1,,,,,1,1,1,,1,,1,,,,1,1,,,,,
360G-blf-0030043784,211042,390288,1,,,,,,,,,,,1,1,,,,1,1,1,1,1,,,1,,,,,1,,1,,1,1
360G-blf-0030044127,1095601,1921,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,
360G-blf-0030043917,518946,205769,1,1,,,1,,1,,1,1,,,1,,,,,1,1,,1,1,1,1,,,,1,1,1,1,,,
360G-blf-0030045571,1109317,66,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,1,
360G-blf-0030043905,1059903,28811,1,1,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,1,
360G-blf-0030044663,1071717,56309,1,1,,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,1,1,,1,
360G-blf-0030044735,1102879,678185,1,1,1,1,,,,,1,,,,1,,,,,1,1,1,1,,1,1,,,,,,1,1,,,1
360G-blf-0030044780,511934,11309,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030045620,1096456,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1
360G-blf-0030046691,523190,3837,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,
360G-blf-0030043843,1095640,1000,1,1,,1,1,,,,1,1,,,1,,,,1,,1,1,1,,,,,,,,,1,1,,,
360G-blf-0030029018,518610,1270001,1,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,1,,1,1,,,
360G-blf-0030044805,1085858,6620,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,
360G-blf-0030044884,1118507,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,1,,,,1,,
360G-blf-0030044441,504348,17867,,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,
360G-blf-0030046595,1092613,500435,,,1,1,1,,,,,,,,,,,,,1,1,1,,,1,,1,,,1,,1,1,,1,
360G-blf-0030049132,1089064,,,1,,1,1,,,,1,1,,,1,,,,,1,,,,,,1,,,,,1,1,1,,,
360G-blf-0030046359,1115339,62388,,,1,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
360G-blf-0030046482,1069780,553061,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,
360G-blf-0030045833,1053486,28537000,,1,1,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,,,
360G-blf-0030046438,1077743,158043,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,,,
360G-blf-0030046558,1039623,23989,,1,1,1,,,,,1,,,1,,,1,1,,,,1,,,,,,,,,,1,1,,,
360G-blf-0030045188,263944,181383,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,
360G-blf-0030043771,297370,6172000,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,1,1,1,,
360G-blf-0030028022,1034530,26175,,1,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,1,,,,
360G-blf-0030045159,273090,4219,1,1,,,,,,,1,,,,,,,,,1,1,,,1,,1,,,,,1,,,,,
360G-blf-0030046425,206003,973153,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,1,
360G-blf-0030044334,301641,21727,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,
360G-blf-0030045922,1045806,,,1,,,,,,,,1,,1,1,,,,,1,,,,,,1,1,1,,,,,1,1,1,
360G-blf-0030046461,1057042,59692,1,,,,,,,,,1,,,,,,,,1,1,1,,1,,1,,,1,,1,,,,,
360G-blf-0030045489,1033902,33107,,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,
360G-blf-0030044534,517023,17831,1,,,,,,,,1,1,,,1,,,,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030046805,300582,9400,1,1,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,1,,,,,
360G-blf-0030046557,1055850,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030046755,1029866,67098,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030046171,1036979,16443,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,
360G-blf-0030046666,266528,24386,1,1,,,,,,,1,1,,1,,,,1,,1,1,1,,,,1,,,,,1,,,,,
360G-blf-0030044492,1081216,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
360G-blf-0030046358,522487,9439,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030046139,1089094,40539,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030047279,SC014372,56489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086328,SC011908,8934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044307,SC036159,3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086356,SC026237,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030087429,SC002432,42395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044681,SC020759,46621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030045048,SC025424,50395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086261,SC030426,169897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044414,SC037420,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086973,SC035787,12447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030045233,SC023595,61140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030087160,SC042559,7123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030085056,SC014673,15024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044017,SC008286,429469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030082383,SC029510,202569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044923,SC024575,13477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030087210,SC015916,10910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044483,SC006750,2362028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030047639,SC030396,251619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044665,SC031631,10028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044052,SC036832,17221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030084994,SC035527,204452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086965,SC041587,309200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044275,SC020483,8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030087260,SC002981,253115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030086117,SC023483,48976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044137,SC005624,31973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030049083,SC004786,132255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030044811,SC036873,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030045219,SC033661,434918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030087404,SC032308,15086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030048994,1072924,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,1,
360G-blf-0030045432,287936,1298673,1,1,1,,1,,,,,,,,,,,1,,,1,1,,,1,,1,,,,,1,,,,1
360G-blf-0030044704,305406,5912,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030044647,1097087,2079,1,1,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,1,,1,1,1,,
360G-blf-0030044123,1111114,7376,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,
360G-blf-0030048955,1098842,,1,1,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,1
360G-blf-0030049160,301906,21418,,1,,,,,,,,1,,,,,,1,,1,1,1,,,,,,,,,1,,,,,
360G-blf-0030049829,296892,48854,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,1,,,,,
360G-blf-0030049400,1051113,14710,,1,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,1,,,1
360G-blf-0030046499,1089235,,,1,,,,,1,,1,1,,,,,,1,,1,,,1,,,,,,,1,,,1,,,
360G-blf-0030044216,1015988,64730000,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,1,1,,,,
360G-blf-0030045334,1081596,34422,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,
360G-blf-0030043705,247634,104500,,1,1,,1,,,,,,,,,,,1,1,,1,,,,,,,,,1,1,1,1,,,
360G-blf-0030048794,1112775,30737000,,1,1,1,1,,,,,,,,1,,1,,,1,1,1,1,,,1,1,1,,1,1,1,1,,,1
360G-blf-0030044855,1079945,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030044251,1064900,1163133,,,,,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,1,
360G-blf-0030043712,1106827,5243,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
360G-blf-0030048892,1101452,28315,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,
360G-blf-0030044724,1064275,119922,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030044951,1102937,,,,,1,1,,1,,,1,,,1,,,,,1,1,1,,,1,,,1,,,1,1,,,,
360G-blf-0030045019,278260,2111,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,1
360G-blf-0030047461,278546,209425,1,1,1,1,,,,1,1,1,,,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,,,
360G-blf-0030046186,1114892,9261,1,1,1,,,1,,,,,,,1,,,,1,,,,1,,1,,,1,,1,1,,,,,1
360G-blf-0030046048,1019078,50050,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,
360G-blf-0030044839,1107865,4997,1,,1,1,,,,,,,,,,,,,,,1,1,,,1,,1,,,1,,1,1,,,
360G-blf-0030044960,306101,43385000,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,1,,1,
360G-blf-0030049014,287265,289829,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,1,,,
360G-blf-0030046091,1055320,201885,,1,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,
360G-blf-0030044073,1039628,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030045322,1055946,75952,,1,,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,1,1,,,,
360G-blf-0030045250,238597,,,1,,1,,,,1,,,,,1,,,,,1,1,1,1,1,1,,,,,1,,1,1,,1,
360G-blf-0030047549,1056902,11565,,1,,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,,1,,,,
360G-blf-0030044879,1049913,0,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,,,
360G-blf-0030048757,1098422,1356015,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1
360G-blf-0030045604,328311,287506,,1,1,1,,,,,1,,,,1,,,,,1,1,1,,,,,,,,,,1,1,1,,
360G-blf-0030048780,1154548,284017,1,1,,1,,,,,1,1,,1,1,,,1,1,1,1,1,,1,1,,,,,,1,1,1,,1,1
360G-blf-0030048945,1070560,7005,1,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,1,,,
360G-blf-0030044450,1102413,100582,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,
360G-blf-0030043867,1030392,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030044020,1093625,8565,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030047692,308326,26890,1,1,1,,,,,,,1,,,1,,,,,1,1,,,1,,1,,,,,1,1,,,1,
360G-blf-0030044542,1102016,815660,,,1,1,,,1,,,,,,,,,,,,1,1,,,,,,,,1,1,1,1,,,
360G-blf-0030049223,1102171,,1,1,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,1,,1,
360G-blf-0030046877,326567,2744000,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,1,,1,,1,
360G-blf-0030049188,1064792,318505,1,,,,,,,,,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,,,,,
360G-blf-0030043983,305173,64200,1,1,,,,,,,,1,,,,,,1,,1,1,,,1,,1,,,,,1,,,,,
360G-blf-0030044168,1026765,673244,,1,,,,,,,,,,1,,,,,1,1,,1,,,,1,,,,,1,1,,,,
360G-blf-0030044857,207037,1729821,,1,,,,,,,1,,,1,,,,,,,,,,,1,1,1,,,1,1,,1,1,1,
360G-blf-0030044394,308284,70788,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,1,,,,,
360G-blf-0030045227,1062583,1061,,1,,,,,,,,1,,,,,,,,1,,,1,,,1,,,1,,,,,,,
360G-blf-0030045161,1109629,112301,1,,1,1,1,,,,,,,,,,,,,1,,1,,,,1,,,,1,,1,1,,,
360G-blf-0030048688,1089576,35331,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,1,1,,,,
360G-blf-0030044865,206003,973153,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,1,
360G-blf-0030044453,278075,149658,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,
360G-blf-0030044211,235569,78291,1,1,1,1,,,,1,,1,,,1,,,1,,1,1,1,1,1,1,1,,,,1,1,1,1,,,
360G-blf-0030049819,1112200,,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,1,,,
360G-blf-0030045510,1110334,13110,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-0030043835,1068104,275878,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,1,,1,1,,1,
360G-blf-0030049902,1019467,7327,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1
360G-blf-0030044525,1040393,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030049846,1089633,79976,,1,1,1,,,,,,1,,,,,,1,,,1,1,,,,,,,,1,,1,1,,,
360G-blf-0030048797,1095953,46146,,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,1,,1,1,,,
360G-blf-0030047561,1043865,35006,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-0030044783,1079303,3084,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,
360G-blf-0030048858,1103724,148041,,1,1,,1,,1,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,,
360G-blf-0030045197,1096682,,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,,,1,,,,
360G-blf-0030043800,1102587,318283,,,,1,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,1,,,
360G-blf-0030049165,1045889,,,1,,,,,,,,,,,1,,,,,1,,1,1,1,,,,,,1,,1,1,,,
360G-blf-0030049958,1107508,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030049510,1099432,165299,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,
360G-blf-0030044519,1003603,481211,,1,,,,,,,,,,,1,,,,,1,,,1,1,,1,1,1,,1,,,1,1,1,
360G-blf-0030046400,1093848,43363,1,1,,1,1,,,,1,1,,,1,,,1,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360G-blf-0030048611,1106453,1792893,1,1,,1,1,,1,,,,,,,,,,,1,1,1,,,,1,,,,1,,1,1,,,
360G-blf-0030049573,1035374,9167,,1,,,,,,,1,,,,,,,,,1,,,,,1,1,1,,,1,,,,,,
360G-blf-0030047062,1066519,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,
360G-blf-0030048793,1087518,1107119,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,1,
360G-blf-0030048819,1051222,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
360G-blf-0030044067,1151624,107489,,1,1,,,,,,,,,,1,,,,,1,,1,,,1,1,,,,1,1,1,1,,,
360G-blf-0030048944,504310,97285,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,1,
360G-blf-0030046610,1006660,49314,,1,1,1,1,,,,1,,,,1,,,,,1,1,1,,1,,1,,,,1,1,1,,,1,
360G-blf-0030048842,1081903,684529,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,
360G-blf-0030044898,1056968,11410,1,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,,,1,,,,
360G-blf-0030048368,1075963,314890,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,
360G-blf-0030048449,523344,16002,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030044250,1003427,67768,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-0030028547,1084001,208705,1,1,,,1,1,,1,,,,,,,,,,1,1,,,1,,1,,,,1,,,1,,,
